commit,auth_date,author,subject,category
e547c003,2025-12-02,Daniel.y,"Merge pull request #2460 from HKUDS/dependabot/bun/lightrag_webui/vite-7.1.12",webui
b2b5f80b,2025-12-02,Daniel.y,"Merge pull request #2467 from HKUDS/dependabot/bun/lightrag_webui/build-tools-ecae90f21c",webui
e429d553,2025-12-02,Daniel.y,"Merge pull request #2459 from HKUDS/dependabot/bun/lightrag_webui/frontend-minor-patch-9aaf02af10",webui
7f7ce9d3,2025-12-02,dependabot[bot],"Bump i18next in /lightrag_webui in the frontend-minor-patch group",webui
d3b5cb63,2025-12-02,dependabot[bot],"Bump vite from 6.3.6 to 7.1.12 in /lightrag_webui",webui
964b53e7,2025-12-02,Daniel.y,"Merge pull request #2458 from HKUDS/dependabot/bun/lightrag_webui/eslint-plugin-react-hooks-7.0.1",webui
2bb9ec13,2025-12-02,dependabot[bot],"Bump eslint-plugin-react-hooks from 5.2.0 to 7.0.1 in /lightrag_webui",webui
29bd027a,2025-12-02,dependabot[bot],"Bump @vitejs/plugin-react-swc",webui
a8e79a8a,2025-12-02,yangdx,"Merge remote-tracking branch 'upstream/dependabot/bun/lightrag_webui/react-error-boundary-6.0.0'",webui
5ca4792c,2025-12-02,dependabot[bot],"Bump @faker-js/faker from 9.9.0 to 10.1.0 in /lightrag_webui",webui
0ca71a57,2025-12-02,dependabot[bot],"Bump sonner from 1.7.4 to 2.0.7 in /lightrag_webui",webui
ea826a38,2025-12-02,yangdx,"Merge branch 'dependabot/bun/lightrag_webui/vitejs/plugin-react-swc-4.2.0'",webui
0f045a52,2025-12-02,yangdx,"Merge branch 'dependabot/bun/lightrag_webui/vitejs/plugin-react-swc-4.2.0' of github.com:HKUDS/LightRAG into dependabot/bun/lightrag_webui/vitejs/plugin-react-swc-4.2.0",webui
0c2a653c,2025-12-02,yangdx,"Merge branch 'main' into dependabot/bun/lightrag_webui/vitejs/plugin-react-swc-4.2.0",webui
bd487a45,2025-12-02,dependabot[bot],"Bump @vitejs/plugin-react-swc from 3.11.0 to 4.2.0 in /lightrag_webui",webui
59b1b58f,2025-12-02,Daniel.y,"Merge pull request #2456 from HKUDS/dependabot/bun/lightrag_webui/globals-16.5.0",webui
8cdf8a12,2025-12-02,Daniel.y,"Merge pull request #2455 from HKUDS/dependabot/bun/lightrag_webui/i18next-25.6.0",webui
09aa8483,2025-12-02,yangdx,"Merge branch 'dependabot/bun/lightrag_webui/stylistic/eslint-plugin-js-4.4.1'",webui
42b09b10,2025-12-02,dependabot[bot],"Bump globals from 15.15.0 to 16.5.0 in /lightrag_webui",webui
883c5dc0,2025-12-02,yangdx,"Update dependabot config with new groupings and patterns",dependabot
1d12f497,2025-12-02,dependabot[bot],"Bump i18next from 24.2.3 to 25.6.0 in /lightrag_webui",webui
459e4ddc,2025-12-02,yangdx,"Clean up duplicate dependencies in package.json and lock file",ingestion
e7966712,2025-12-02,Daniel.y,"Merge pull request #2452 from HKUDS/dependabot/bun/lightrag_webui/frontend-minor-patch-a28ecac770",webui
c6c201d7,2025-12-02,Daniel.y,"Merge branch 'main' into dependabot/bun/lightrag_webui/frontend-minor-patch-a28ecac770",webui
13a285d4,2025-12-02,Daniel.y,"Merge pull request #2451 from HKUDS/dependabot/bun/lightrag_webui/build-tools-0944ec6cea",webui
35c79341,2025-12-02,Daniel.y,"Merge pull request #2450 from HKUDS/dependabot/bun/lightrag_webui/ui-components-018be29f1c",webui
ab718218,2025-12-02,Daniel.y,"Merge pull request #2449 from HKUDS/dependabot/bun/lightrag_webui/react-b0cb288b9e",webui
9425277f,2025-12-02,yangdx,"Improve dependabot config with better docs and numpy ignore rule",dependabot
9ae1c7fc,2025-12-01,dependabot[bot],"Bump react-error-boundary from 5.0.0 to 6.0.0 in /lightrag_webui",webui
e2431b67,2025-12-01,dependabot[bot],"Bump @vitejs/plugin-react-swc from 3.11.0 to 4.2.0 in /lightrag_webui",webui
1f3d7006,2025-12-01,dependabot[bot],"Bump @stylistic/eslint-plugin-js from 3.1.0 to 4.4.1 in /lightrag_webui",webui
f4acb25c,2025-12-01,dependabot[bot],"Bump the frontend-minor-patch group in /lightrag_webui with 6 updates",webui
245c0c32,2025-12-01,dependabot[bot],"Bump the build-tools group in /lightrag_webui with 4 updates",webui
15bfd9fa,2025-12-01,dependabot[bot],"Bump the ui-components group in /lightrag_webui with 7 updates",webui
587a930b,2025-12-01,dependabot[bot],"Bump the react group in /lightrag_webui with 3 updates",webui
445adfc9,2025-12-02,yangdx,"Add name to lint-and-format job in GitHub workflow",ci
d0509d6f,2025-12-02,Daniel.y,"Merge pull request #2448 from HKUDS/dependabot/github_actions/github-actions-b6ffb444c9",tests
b2f1de4a,2025-12-02,Daniel.y,"Merge pull request #2447 from danielaskdd/dependabot",dependabot
f93bda58,2025-12-02,yangdx,"Enable numpy updates in dependabot configuration",dependabot
88357675,2025-12-01,dependabot[bot],"Bump the github-actions group with 7 updates",tests
0f19f80f,2025-12-02,yangdx,"Configure comprehensive Dependabot for Python and frontend dependencies",tests
ecef842c,2025-12-02,yangdx,"Update GitHub Actions to use latest versions (v6)",tests
6fee81f5,2025-12-02,Daniel.y,"Merge pull request #2435 from cclauss/patch-1",misc
27805b9a,2025-12-02,Daniel.y,"Merge pull request #2436 from cclauss/patch-2",misc
268e4ff6,2025-12-02,yangdx,"Refactor dependencies and add test extra in pyproject.toml",tests
2ecf77ef,2025-12-02,yangdx,"Update help text to use correct gunicorn command with workers flag",misc
fc44f113,2025-12-02,yangdx,"Remove future dependency and replace passlib with direct bcrypt",security
48b6a6df,2025-12-02,Daniel.y,"Merge pull request #2446 from danielaskdd/fix-postgres",postgres
d6019c82,2025-12-02,yangdx,"Add CASCADE to AGE extension creation in PostgreSQL implementation",postgres
607c11c0,2025-12-01,Daniel.y,"Merge pull request #2443 from danielaskdd/fix-ktax",misc
3f6423df,2025-12-01,yangdx,"Fix KaTeX extension loading by moving imports to app startup",katex
112ed234,2025-12-01,yangdx,"Bump API version to 0258",dependabot
8f4bfbf1,2025-12-01,yangdx,"Add KaTeX copy-tex extension support for formula copying",katex
aeaa0b32,2025-12-01,yangdx,"Add mhchem extension support for chemistry formulas in ChatMessage",postgres
0aa77fdb,2025-11-30,chaohuang-ai,"Merge pull request #2439 from HKUDS/chaohuang-ai-patch-1",misc
5c964267,2025-11-30,chaohuang-ai,"Update README.md",docs
d2ab7fb2,2025-11-28,Christian,"Clauss Add Python 3.13 and 3.14 to the testing",misc
90e38c20,2025-11-28,Christian,"Clauss Keep GitHub Actions up to date with GitHub's Dependabot",tests
8eb63d9b,2025-11-28,Daniel.y,"Merge pull request #2434 from cclauss/patch-1",misc
b6705449,2025-11-28,Daniel.y,"Merge pull request #2433 from danielaskdd/fix-jina-embedding",embedding
ea8d55ab,2025-11-28,yangdx,"Add documentation for embedding provider configuration rules",embedding
90f341d6,2025-11-28,Christian,"Clauss Fix typos discovered by codespell",misc
4ab4a7ac,2025-11-28,yangdx,"Allow embedding models to use provider defaults when unspecified",embedding
881b8d3a,2025-11-28,yangdx,"Bump API version to 0257",dependabot
56e0365c,2025-11-28,yangdx,"Add configurable model parameter to jina_embed function",embedding
1b02684e,2025-11-28,Daniel.y,"Merge pull request #2432 from danielaskdd/embedding-example",embedding
97a9dfca,2025-11-28,yangdx,"Add important note about embedding function wrapping restrictions",embedding
1d07ff7f,2025-11-28,yangdx,"Update OpenAI and Ollama embedding func examples in README",embedding
6e2946e7,2025-11-28,yangdx,"Add max_token_size parameter to azure_openai_embed wrapper",embedding
4f12fe12,2025-11-27,yangdx,"Change entity extraction logging from warning to info level",misc
a898f054,2025-11-25,palanisd,"Merge branch 'HKUDS:main' into cohere-rerank",rerank
93d445df,2025-11-25,yangdx,"Add pipeline status lock function for legacy compatibility",workspace
d2cd1c07,2025-11-25,Daniel.y,"Merge pull request #2421 from EightyOliveira/fix_catch_order",misc
777c9179,2025-11-25,yangdx,"Add Langfuse observability configuration to env.example",misc
8994c70f,2025-11-25,EightyOliveira,"fix:exception handling order error",misc
2539b4e2,2025-11-25,Daniel.y,"Merge pull request #2418 from danielaskdd/start-without-webui",webui
48b67d30,2025-11-25,yangdx,"Handle missing WebUI assets gracefully without blocking server startup",webui
2832a2ca,2025-11-25,Daniel.y,"Merge pull request #2417 from danielaskdd/neo4j-retry",storage
5f91063c,2025-11-25,yangdx,"Add ruff as dependency to pytest and evaluation extras",tests
8c4d7a00,2025-11-25,yangdx,"Refactor: Extract retry decorator to reduce code duplication in Neo4J storage",postgres
5b81ef00,2025-11-24,Daniel.y,"Merge pull request #2410 from netbrah/create-copilot-setup-steps",misc
7aaa51cd,2025-11-24,yangdx,"Add retry decorators to Neo4j read operations for resilience",storage
dd18eb5b,2025-11-24,palanisd,"Merge pull request #3 from netbrah/copilot/fix-overlap-tokens-validation",security
8835fc24,2025-11-24,copilot-swe-agent[bot],"Improve edge case handling for max_tokens=1",postgres
1d6ea0c5,2025-11-24,copilot-swe-agent[bot],"Fix chunking infinite loop when overlap_tokens >= max_tokens",chunking
e136da96,2025-11-24,copilot-swe-agent[bot],"Initial plan",postgres
c233da63,2025-11-23,palanisd,"Update copilot-setup-steps.yml",misc
a05bbf10,2025-11-22,netbrah,"Add Cohere reranker config, chunking, and tests",chunking
1b0413ee,2025-11-22,palanisd,"Create copilot-setup-steps.yml",misc
16eb0d5b,2025-11-23,chaohuang-ai,"Merge pull request #2409 from HKUDS/chaohuang-ai-patch-3",misc
37178462,2025-11-23,chaohuang-ai,"Update README.md",docs
6d3bfe46,2025-11-23,chaohuang-ai,"Merge pull request #2408 from HKUDS/chaohuang-ai-patch-2",misc
babbcb56,2025-11-23,chaohuang-ai,"Update README.md",docs
5f53de88,2025-11-22,yangdx,"Fix Azure configuration examples and correct typos in env.example",llm_cloud
fa6797f2,2025-11-22,yangdx,"Update env.example",misc
49fb11e2,2025-11-22,yangdx,"Update Azure OpenAI configuration examples",llm_cloud
7b762110,2025-11-22,yangdx,"Add fallback to AZURE_OPENAI_API_VERSION for embedding API version",embedding
ffd8da51,2025-11-21,yangdx,"Improve Azure OpenAI compatibility and error handling",llm_cloud
fafa1791,2025-11-21,yangdx,"Fix Azure OpenAI model parameter to use deployment name consistently",llm_cloud
021b637d,2025-11-21,Daniel.y,"Merge pull request #2403 from danielaskdd/azure-cot-handling",llm_cloud
ac9f2574,2025-11-21,yangdx,"Improve Azure OpenAI wrapper functions with full parameter support",llm_cloud
45f4f823,2025-11-21,yangdx,"Refactor Azure OpenAI client creation to support client_configs merging",llm_cloud
0c4cba38,2025-11-21,yangdx,"Fix double decoration in azure_openai_embed and document decorator usage",embedding
b46c1523,2025-11-21,yangdx,"Fix linting",misc
b709f8f8,2025-11-21,yangdx,"Consolidate Azure OpenAI implementation into main OpenAI module",llm_cloud
66d6c7dd,2025-11-21,yangdx,"Refactor main function to provide sync CLI entry point",misc
8777895e,2025-11-21,Daniel.y,"Merge pull request #2401 from danielaskdd/fix-openai-keyword-extraction",llm_cloud
1e477e95,2025-11-21,yangdx,"Add lightrag-clean-llmqc console script entry point",llm_cloud
02fdceb9,2025-11-21,yangdx,"Update OpenAI client to use stable API and bump minimum version to 2.0.0",llm_cloud
9f69c5bf,2025-11-21,yangdx,"feat: Support structured output `parsed` from OpenAI",llm_cloud
c9e1c86e,2025-11-21,yangdx,"Refactor keyword extraction handling to centralize response format logic",misc
46ce6d9a,2025-11-20,yangdx,"Fix Azure OpenAI embedding model parameter fallback",embedding
cc78e2df,2025-11-20,Daniel.y,"Merge pull request #2395 from Amrit75/issue-2394",misc
30e86fa3,2025-11-20,Amritpal,"Singh use deployment variable which extracted value from .env file or have default value",misc
ecea9399,2025-11-20,yangdx,"Fix lingting",misc
1d2f534f,2025-11-20,yangdx,"Fix linting",misc
72ece734,2025-11-20,yangdx,"Remove obsolete config file and paging design doc",misc
1e415cff,2025-11-20,yangdx,"Update postgreSQL docker image link",postgres
3c85e488,2025-11-20,yangdx,"Update README",docs
d52adb64,2025-11-19,Daniel.y,"Merge pull request #2390 from danielaskdd/fix-pytest-logging-error",tests
b7de694f,2025-11-19,yangdx,"Add comprehensive error logging across API routes",misc
0fb2925c,2025-11-19,yangdx,"Remove ascii_colors dependency and fix stream handling errors",tests
f72f435c,2025-11-19,Daniel.y,"Merge pull request #2389 from danielaskdd/fix-chunk-size",chunking
fec7c67f,2025-11-19,yangdx,"Add comprehensive chunking tests with multi-token tokenizer edge cases",chunking
57332925,2025-11-19,yangdx,"Add comprehensive tests for chunking with recursive splitting",chunking
6fea68bf,2025-11-19,yangdx,"Fix ChunkTokenLimitExceededError message formatting",chunking
f988a226,2025-11-19,yangdx,"Add token limit validation for character-only chunking",chunking
5cc91686,2025-11-19,yangdx,"Expand AGENTS.md with testing controls and automation guidelines",postgres
af4d2a3d,2025-11-19,Daniel.y,"Merge pull request #2386 from danielaskdd/excel-optimization",xlsx
95cd0ece,2025-11-19,yangdx,"Fix DOCX table extraction by escaping special characters in cells",docx
87de2b3e,2025-11-19,yangdx,"Update XLSX extraction documentation to reflect current implementation",xlsx
0244699d,2025-11-19,yangdx,"Optimize XLSX extraction by using sheet.max_column instead of two-pass scan",xlsx
2b160163,2025-11-19,yangdx,"Optimize XLSX extraction to avoid storing all rows in memory",xlsx
ef659a1e,2025-11-19,yangdx,"Preserve column alignment in XLSX extraction with two-pass processing",xlsx
3efb1716,2025-11-19,yangdx,"Enhance XLSX extraction with structured tab-delimited format and escaping",xlsx
efbbaaf7,2025-11-19,Daniel.y,"Merge pull request #2383 from danielaskdd/doc-table",misc
e7d2803a,2025-11-19,yangdx,"Remove text stripping in DOCX extraction to preserve whitespace",docx
186c8f0e,2025-11-19,yangdx,"Preserve blank paragraphs in DOCX extraction to maintain spacing",docx
fa887d81,2025-11-19,yangdx,"Fix table column structure preservation in DOCX extraction",docx
4438ba41,2025-11-19,yangdx,"Enhance DOCX extraction to preserve document order with tables",docx
d16c7840,2025-11-18,yangdx,"Bump API version to 0256",dependabot
e77340d4,2025-11-18,yangdx,"Adjust chunking parameters to match the default environment variable settings",chunking
24423c92,2025-11-18,yangdx,"Merge branch 'fix_chunk_comment'",chunking
1bfa1f81,2025-11-18,yangdx,"Merge branch 'main' into fix_chunk_comment",chunking
9c10c875,2025-11-18,yangdx,"Fix linting",misc
9109509b,2025-11-18,yangdx,"Merge branch 'dev-postgres-vchordrq'",postgres
dbae327a,2025-11-18,yangdx,"Merge branch 'main' into dev-postgres-vchordrq",postgres
b583b8a5,2025-11-18,yangdx,"Merge branch 'feature/postgres-vchordrq-indexes' into dev-postgres-vchordrq",postgres
3096f844,2025-11-18,yangdx,"fix(postgres): allow vchordrq.epsilon config when probes is empty",postgres
dacca334,2025-11-18,EightyOliveira,"refactor(chunking): rename params and improve docstring for chunking_by_token_size",chunking
f4bf5d27,2025-11-18,wmsnp,"fix: add logger to configure_vchordrq() and format code",postgres
dfbc9736,2025-11-18,Daniel.y,"Merge pull request #2369 from HKUDS/workspace-isolation",workspace
702cfd29,2025-11-18,yangdx,"Fix document deletion concurrency control and validation logic",misc
656025b7,2025-11-18,yangdx,"Rename GitHub workflow from ""Tests"" to ""Offline Unit Tests""",ci
7e9c8ed1,2025-11-18,yangdx,"Rename test classes to prevent warning from pytest",tests
4048fc4b,2025-11-18,yangdx,"Fix: auto-acquire pipeline when idle in document deletion",workspace
1745b30a,2025-11-18,yangdx,"Fix missing workspace parameter in update flags status call",workspace
f8dd2e07,2025-11-18,yangdx,"Fix namespace parsing when workspace contains colons",workspace
472b498a,2025-11-18,yangdx,"Replace pytest group reference with explicit dependencies in evaluation",tests
a11912ff,2025-11-18,yangdx,"Add testing workflow guidelines to basic development rules",ci
41bf6d02,2025-11-18,yangdx,"Fix test to use default workspace parameter behavior",tests
d07023c9,2025-11-18,wmsnp,"feat(postgres_impl): add vchordrq vector index support and unify vector index creation logic",postgres
4ea21240,2025-11-18,yangdx,"Add GitHub CI workflow and test markers for offline/integration tests",tests
4fef731f,2025-11-18,yangdx,"Standardize test directory creation and remove tempfile dependency",tests
1fe05df2,2025-11-18,yangdx,"Refactor test configuration to use pytest fixtures and CLI options",tests
6ae0c144,2025-11-18,yangdx,"test: add concurrent execution to workspace isolation test",tests
6cef8df1,2025-11-18,yangdx,"Reduce log level and improve workspace mismatch message clarity",postgres
fc9f7c70,2025-11-18,yangdx,"Fix linting",misc
f83b475a,2025-11-18,yangdx,"Remove Dependabot configuration file",dependabot
21ad990e,2025-11-18,yangdx,"Improve workspace isolation tests with better parallelism checks and cleanup",workspace
5da82bb0,2025-11-18,yangdx,"Add pre-commit to pytest dependencies and format test code",tests
99262ada,2025-11-18,yangdx,"Enhance workspace isolation test with distinct mock data and persistence",tests
b7b8d156,2025-11-17,yangdx,"Refactor pytest dependencies into separate optional group",tests
1874cfaf,2025-11-17,yangdx,"Fix linting",misc
3806892a,2025-11-17,Daniel.y,"Merge pull request #2371 from BukeLy/pytest-style-conversion",tests
1a183702,2025-11-17,BukeLy,"docs: Update test file docstring to reflect all 11 test scenarios",tests
3ec73693,2025-11-17,BukeLy,"test: Enhance E2E workspace isolation detection with content verification",tests
a990c1d4,2025-11-17,BukeLy,"fix: Correct Mock LLM output format in E2E test",llm_cloud
288498cc,2025-11-17,BukeLy,"test: Convert test_workspace_isolation.py to pytest style",tests
ddc76f0c,2025-11-17,yangdx,"Merge branch 'main' into workspace-isolation",workspace
9262f66d,2025-11-17,yangdx,"Bump API version to 0255",dependabot
393f8803,2025-11-17,yangdx,"Improve LightRAG initialization checker tool with better usage docs",postgres
9d7b7981,2025-11-17,yangdx,"Add pipeline status validation before document deletion",workspace
98e964df,2025-11-17,yangdx,"Fix initialization instructions in check_lightrag_setup function",misc
6d6716e9,2025-11-17,yangdx,"Add _default_workspace to shared storage finalization",postgres
cf73cb4d,2025-11-17,yangdx,"Remove unused variables from workspace isolation test",tests
c1ec657c,2025-11-17,yangdx,"Fix linting",misc
f1d8f18c,2025-11-17,yangdx,"Merge branch 'main' into workspace-isolation",workspace
3e759f46,2025-11-17,BukeLy,"test: Add real integration and E2E tests for workspace isolation",tests
436e4143,2025-11-17,BukeLy,"test: Enhance workspace isolation test suite to 100% coverage",postgres
4742fc8e,2025-11-17,BukeLy,"test: Add comprehensive workspace isolation test suite for PR #2366",tests
cdd53ee8,2025-11-17,yangdx,"Remove manual initialize_pipeline_status() calls across codebase",workspace
e22ac52e,2025-11-17,yangdx,"Auto-initialize pipeline status in LightRAG.initialize_storages()",postgres
e8383df3,2025-11-17,yangdx,"Fix NamespaceLock context variable timing to prevent lock bricking",workspace
95e1fb16,2025-11-17,yangdx,"Remove final_namespace attribute for in-memory storage and use namespace in clean_llm_query_cache.py",llm_cloud
7ed0eac4,2025-11-17,yangdx,"Fix workspace filtering logic in get_all_update_flags_status",workspace
78689e88,2025-11-17,yangdx,"Fix pipeline status namespace check to handle root case",workspace
d54d0d55,2025-11-17,yangdx,"Standardize empty workspace handling from ""_"" to """" across storage",postgres
b6a5a90e,2025-11-17,yangdx,"Fix NamespaceLock concurrent coroutine safety with ContextVar",workspace
fd486bc9,2025-11-17,yangdx,"Refactor storage classes to use namespace instead of final_namespace",postgres
01814bfc,2025-11-17,yangdx,"Fix missing function call parentheses in get_all_update_flags_status",misc
7deb9a64,2025-11-17,yangdx,"Refactor namespace lock to support reusable async context manager",postgres
52c812b9,2025-11-17,yangdx,"Fix workspace isolation for pipeline status across all operations",workspace
926960e9,2025-11-17,yangdx,"Refactor workspace handling to use default workspace and namespace locks",workspace
acae404f,2025-11-15,yangdx,"Update env.example",misc
ec05d89c,2025-11-15,yangdx,"Add macOS fork safety check for Gunicorn multi-worker mode",misc
8abc2ac1,2025-11-13,Sleeep,"Update edge keywords extraction in graph visualization",misc
e5addf4d,2025-11-14,yangdx,"Improve embedding config priority and add debug logging",embedding
2fb57e76,2025-11-14,yangdx,"Fix embedding token limit initialization order",embedding
6b2af2b5,2025-11-14,yangdx,"Refactor embedding function creation with proper attribute inheritance",embedding
f0254773,2025-11-14,yangdx,"Convert embedding_token_limit from property to field with __post_init__",embedding
14a6c24e,2025-11-14,yangdx,"Add configurable embedding token limit with validation",embedding
f5b48587,2025-11-14,yangdx,"Improve Bedrock error handling with retry logic and custom exceptions",llm_cloud
77221564,2025-11-14,yangdx,"Add max_token_size parameter to embedding function decorators",embedding
8283c86b,2025-11-14,yangdx,"Refactor exception handling in MemgraphStorage label methods",postgres
423e4e92,2025-11-14,yangdx,"Fix null reference errors in graph database error handling",misc
2f2f35b8,2025-11-13,yangdx,"Add macOS compatibility check for DOCLING with multi-worker Gunicorn",misc
c246eff7,2025-11-13,yangdx,"Improve docling integration with macOS compatibility and CLI flag",tests
63510478,2025-11-13,yangdx,"Improve error handling and logging in cloud model detection",misc
67dfd856,2025-11-13,LacombeLouis,"Add a better regex",misc
5127bf20,2025-11-12,Louis,"Lacombe Add support for environment variable fallback for API key and default host for cloud models",misc
fa9206d6,2025-11-13,yangdx,"Update uv.lock",misc
7b7f93d7,2025-11-13,yangdx,"Implement lazy configuration initialization for API server",misc
69a0b74c,2025-11-13,yangdx,"refactor: move document deps to api group, remove dynamic imports",misc
7d394fb0,2025-11-13,yangdx,"Replace asyncio.iscoroutine with inspect.isawaitable for better detection",tests
72f68c2a,2025-11-13,yangdx,"Update env.example",misc
a08bc726,2025-11-12,yangdx,"Fix empty dict handling after JSON sanitization",json
cca0800e,2025-11-12,yangdx,"Fix migration to reload sanitized data and prevent memory corruption",json
7f54f470,2025-11-12,yangdx,"Optimize JSON string sanitization with precompiled regex and zero-copy",json
f289cf62,2025-11-12,yangdx,"Optimize JSON write with fast/slow path to reduce memory usage",postgres
93a3e471,2025-11-12,yangdx,"Remove deprecated response_type parameter from query settings",misc
abeaac84,2025-11-12,yangdx,"Improve JSON data sanitization to handle tuples and dict keys",json
5885637e,2025-11-12,yangdx,"Add specialized JSON string sanitizer to prevent UTF-8 encoding errors",tests
23cbb9c9,2025-11-12,yangdx,"Add data sanitization to JSON writing to prevent UTF-8 encoding errors",json
ff8f1588,2025-11-11,yangdx,"Update env.example",misc
c434879c,2025-11-11,yangdx,"Replace PyPDF2 with pypdf for PDF processing",pdf
af542391,2025-11-13,yangdx,"Support async chunking functions in LightRAG processing pipeline",chunking
50160254,2025-11-10,Tong,"Da easier version: detect chunking_func result is coroutine or not",chunking
77405006,2025-11-09,Tong,"Da support async chunking func to improve processing performance when a heavy `chunking_func` is passed in by user",chunking
18a48702,2025-11-15,BukeLy,"fix: Add default workspace support for backward compatibility",workspace
eb52ec94,2025-11-13,BukeLy,"feat: Add workspace isolation support for pipeline status",workspace
8bb54833,2025-11-17,Daniel.y,"Merge pull request #2368 from danielaskdd/milvus-vector-batching",storage
90f52acf,2025-11-17,yangdx,"Fix linting",misc
c13f9116,2025-11-17,yangdx,"Add embedding dimension validation to EmbeddingFunc wrapper",embedding
3b76eea2,2025-11-15,Daniel.y,"Merge pull request #2359 from danielaskdd/embedding-limit",embedding
87221035,2025-11-15,yangdx,"Update env.example",misc
b5589ce4,2025-11-15,yangdx,"Merge branch 'main' into embedding-limit",embedding
9a2ddcee,2025-11-15,Daniel.y,"Merge pull request #2360 from danielaskdd/macos-gunicorn-numpy",misc
4343db75,2025-11-15,yangdx,"Add macOS fork safety check for Gunicorn multi-worker mode",misc
c6850ac5,2025-11-14,Daniel.y,"Merge pull request #2358 from sleeepyin/main",misc
5dec4dea,2025-11-14,yangdx,"Improve embedding config priority and add debug logging",embedding
de4412dd,2025-11-14,yangdx,"Fix embedding token limit initialization order",embedding
963a0a5d,2025-11-14,yangdx,"Refactor embedding function creation with proper attribute inheritance",embedding
39b49e92,2025-11-14,yangdx,"Convert embedding_token_limit from property to field with __post_init__",embedding
ab4d7ac2,2025-11-14,yangdx,"Add configurable embedding token limit with validation",embedding
680e36c6,2025-11-14,yangdx,"Improve Bedrock error handling with retry logic and custom exceptions",llm_cloud
05852e1a,2025-11-14,yangdx,"Add max_token_size parameter to embedding function decorators",embedding
b88d7854,2025-11-14,Sleeep,"Merge branch 'HKUDS:main' into main",misc
399a23c3,2025-11-14,Daniel.y,"Merge pull request #2356 from danielaskdd/improve-error-handling",misc
4401f86f,2025-11-14,yangdx,"Refactor exception handling in MemgraphStorage label methods",postgres
1ccef2b9,2025-11-14,yangdx,"Fix null reference errors in graph database error handling",misc
c164c8f6,2025-11-13,yangdx,"Merge branch 'main' of github.com:HKUDS/LightRAG",misc
18893015,2025-11-13,yangdx,"Merge branch 'feat/add_cloud_ollama_support'",llm_cloud
77ad906d,2025-11-13,yangdx,"Improve error handling and logging in cloud model detection",misc
28fba19b,2025-11-13,Daniel.y,"Merge pull request #2352 from danielaskdd/docling-gunicorn-multi-worker",misc
cc031a3d,2025-11-13,yangdx,"Add macOS compatibility check for DOCLING with multi-worker Gunicorn",misc
844537e3,2025-11-13,LacombeLouis,"Add a better regex",misc
